Year,Види економічної діяльності,Value
2016,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",
2017,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",
2018,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",0.3
2019,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",
2020,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",0.4
2021,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",
2022,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",0.4
2023,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",
2024,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",1.6
2015,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",
2016,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",
2017,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",
2018,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",c
2019,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",
2020,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",c
2021,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",
2022,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",c
2023,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",
2024,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт (Код за КВЕД-2010 – 49+50+51)",0.3
2015,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",
2016,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",
2017,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",
2018,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",c
2019,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",
2020,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",c
2021,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",
2022,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",c
2023,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",
2024,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність (Код за КВЕД-2010 – 52+53)",3.3
2015,Інформація та телекомунікації (Код за КВЕД-2010 – J),
2016,Інформація та телекомунікації (Код за КВЕД-2010 – J),
2017,Інформація та телекомунікації (Код за КВЕД-2010 – J),
2018,Інформація та телекомунікації (Код за КВЕД-2010 – J),0.7
2019,Інформація та телекомунікації (Код за КВЕД-2010 – J),
2020,Інформація та телекомунікації (Код за КВЕД-2010 – J),0.7
2021,Інформація та телекомунікації (Код за КВЕД-2010 – J),
2022,Інформація та телекомунікації (Код за КВЕД-2010 – J),1.1
2023,Інформація та телекомунікації (Код за КВЕД-2010 – J),
2024,Інформація та телекомунікації (Код за КВЕД-2010 – J),4.8
2015,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",
2016,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",
2017,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",
