Year,CouncilLevel,Region,Sex,Value
2021,,28_reg_Ternopil,women,34.0
2022,,28_reg_Ternopil,men,65.96
2022,,28_reg_Ternopil,women,34.04
2023,,28_reg_Ternopil,men,65.73
2023,,28_reg_Ternopil,women,34.77
2015,,29_reg_Kharkiv,women,51.70
2015,,29_reg_Kharkiv,men,48.30
2016,,29_reg_Kharkiv,women,51.25
2016,,29_reg_Kharkiv,men,48.75
2017,,29_reg_Kharkiv,women,50.79
2017,,29_reg_Kharkiv,men,49.21
2018,,29_reg_Kharkiv,men,49.13
2018,,29_reg_Kharkiv,women,50.87
2019,,29_reg_Kharkiv,men,49.83
2019,,29_reg_Kharkiv,women,50.17
2020,,29_reg_Kharkiv,men,61.09
2020,,29_reg_Kharkiv,women,38.91
2021,,29_reg_Kharkiv,men,60.84
2021,,29_reg_Kharkiv,women,39.16
2022,,29_reg_Kharkiv,men,60.95
2022,,29_reg_Kharkiv,women,39.05
2023,,29_reg_Kharkiv,men,61.67
2023,,29_reg_Kharkiv,women,38.33
2015,,30_reg_Kherson,women,56.96
2015,,30_reg_Kherson,men,43.04
2016,,30_reg_Kherson,women,55.60
2016,,30_reg_Kherson,men,44.40
2017,,30_reg_Kherson,women,54.45
2017,,30_reg_Kherson,men,45.55
2018,,30_reg_Kherson,men,45.71
2018,,30_reg_Kherson,women,54.29
2019,,30_reg_Kherson,men,45.91
2019,,30_reg_Kherson,women,54.09
2020,,30_reg_Kherson,men,58.23
2020,,30_reg_Kherson,women,41.77
2021,,30_reg_Kherson,men,5839.0
2021,,30_reg_Kherson,women,41.611
2022,,30_reg_Kherson,men,7840.0
2023,,30_reg_Kherson,men,58.84
2023,,30_reg_Kherson,women,41.16
2015,,31_reg_Khmelnytskiy,women,50.84
2015,,31_reg_Khmelnytskiy,men,49.16
2016,,31_reg_Khmelnytskiy,women,49.84
2016,,31_reg_Khmelnytskiy,men,50.16
2017,,31_reg_Khmelnytskiy,women,48.57
2017,,31_reg_Khmelnytskiy,men,51.43
2018,,31_reg_Khmelnytskiy,men,52.0
2018,,31_reg_Khmelnytskiy,women,48.0
2019,,31_reg_Khmelnytskiy,men,2.38
2019,,31_reg_Khmelnytskiy,women,47.62
2020,,31_reg_Khmelnytskiy,men,62.92
