Year,за рівнем рад,Область,Стать,Value
2017,міські ради (у тому числі Київська міська рада),,жінок,28.68
2017,міські ради (у тому числі Київська міська рада),,чоловіків,71.32
2018,міські ради (у тому числі Київська міська рада),,жінок,28.71
2018,міські ради (у тому числі Київська міська рада),,чоловіків,71.29
2019,міські ради (у тому числі Київська міська рада),,жінок,28.83
2019,міські ради (у тому числі Київська міська рада),,чоловіків,71.17
2020,міські ради (у тому числі Київська міська рада),,жінок,33.12
2020,міські ради (у тому числі Київська міська рада),,чоловіків,66.88
2021,міські ради (у тому числі Київська міська рада),,жінок,33.22
2021,міські ради (у тому числі Київська міська рада),,чоловіків,66.78
2022,міські ради (у тому числі Київська міська рада),,жінок,33.32
2022,міські ради (у тому числі Київська міська рада),,чоловіків,66.68
2023,міські ради (у тому числі Київська міська рада),,жінок,33.29
2023,міські ради (у тому числі Київська міська рада),,чоловіків,66.71
2015,районні у містах ради,,жінок,33.3
2015,районні у містах ради,,чоловіків,66.7
2016,районні у містах ради,,жінок,33.59
2016,районні у містах ради,,чоловіків,66.41
2017,районні у містах ради,,жінок,33.98
2017,районні у містах ради,,чоловіків,66.02
2018,районні у містах ради,,жінок,33.79
2018,районні у містах ради,,чоловіків,66.21
2019,районні у містах ради,,жінок,33.88
2019,районні у містах ради,,чоловіків,66.12
2020,районні у містах ради,,жінок,43.24
2020,районні у містах ради,,чоловіків,56.76
2021,районні у містах ради,,жінок,42.6
2021,районні у містах ради,,чоловіків,57.4
2022,районні у містах ради,,жінок,42.5
2022,районні у містах ради,,чоловіків,57.5
2023,районні у містах ради,,жінок,42.45
2023,районні у містах ради,,чоловіків,57.55
2015,селищні ради,,жінок,46.11
2015,селищні ради,,чоловіків,53.89
2016,селищні ради,,жінок,45.19
2016,селищні ради,,чоловіків,54.81
2017,селищні ради,,жінок,44.43
2017,селищні ради,,чоловіків,55.57
2018,селищні ради,,жінок,44.02
2018,селищні ради,,чоловіків,55.98
2019,селищні ради,,жінок,43.88
2019,селищні ради,,чоловіків,56.12
2020,селищні ради,,жінок,37.92
2020,селищні ради,,чоловіків,62.08
2021,селищні ради,,жінок,38.0
2021,селищні ради,,чоловіків,62.0
2022,селищні ради,,жінок,38.05
2022,селищні ради,,чоловіків,61.95
2023,селищні ради,,жінок,37.99
2023,селищні ради,,чоловіків,62.01
2015,сільські ради,,жінок,55.66
2015,сільські ради,,чоловіків,44.34
2016,сільські ради,,жінок,55.12
2016,сільські ради,,чоловіків,44.88
2017,сільські ради,,жінок,54.41
2017,сільські ради,,чоловіків,45.59
2018,сільські ради,,жінок,54.22
2018,сільські ради,,чоловіків,45.78
2019,сільські ради,,жінок,53.71
2019,сільські ради,,чоловіків,46.29
2020,сільські ради,,жінок,41.28
2020,сільські ради,,чоловіків,58.72
2021,сільські ради,,жінок,41.2
2021,сільські ради,,чоловіків,58.8
2022,сільські ради,,жінок,41.23
2022,сільські ради,,чоловіків,58.77
2023,сільські ради,,жінок,41.07
2023,сільські ради,,чоловіків,58.93
2024,,,,
