Year,group_label_90,group_label_91,group_4,group_5,group_6,group_7,group_8,group_9,Value
2023,,,group_label_144,,,,,,
2024,,,group_label_144,,,,,,2.33
2015,,,group_label_113,,,,,,
2016,,,group_label_113,,,,,,
2017,,,group_label_113,,,,,,60.18
2018,,,group_label_113,,,,,,69.33
2019,,,group_label_113,,,,,,71.96
2020,,,group_label_113,,,,,,58.95
2021,,,group_label_113,,,,,,67.45
2022,,,group_label_113,,,,,,2.43
2023,,,group_label_113,,,,,,9.2
2024,,,group_label_113,,,,,,6.19
2015,,,group_label_145,,,,,,
2016,,,group_label_145,,,,,,
2017,,,group_label_145,,,,,,
2018,,,group_label_145,,,,,,
2019,,,group_label_145,,,,,,
2020,,,group_label_145,,,,,,
2021,,,group_label_145,,,,,,
2022,,,group_label_145,,,,,,
2023,,,group_label_145,,,,,,
2024,,,group_label_145,,,,,,7.44
2015,,,group_label_146,,,,,,
2016,,,group_label_146,,,,,,
2017,,,group_label_146,,,,,,
2018,,,group_label_146,,,,,,
2019,,,group_label_146,,,,,,
2020,,,group_label_146,,,,,,
2021,,,group_label_146,,,,,,
2022,,,group_label_146,,,,,,
2023,,,group_label_146,,,,,,
2024,,,group_label_146,,,,,,1.67
2015,,,group_label_116,,,,,,
2016,,,group_label_116,,,,,,
2017,,,group_label_116,,,,,,
2018,,,group_label_116,,,,,,
2019,,,group_label_116,,,,,,
2020,,,group_label_116,,,,,,
2021,,,group_label_116,,,,,,
2022,,,group_label_116,,,,,,
2023,,,group_label_116,,,,,,
2024,,,group_label_116,,,,,,7.81
2015,,,group_label_117,,,,,,
2016,,,group_label_117,,,,,,
2017,,,group_label_117,,,,,,
2018,,,group_label_117,,,,,,
2019,,,group_label_117,,,,,,
2020,,,group_label_117,,,,,,
2021,,,group_label_117,,,,,,
2022,,,group_label_117,,,,,,
2023,,,group_label_117,,,,,,
2024,,,group_label_117,,,,,,
2015,,,group_label_147,,,,,,
2016,,,group_label_147,,,,,,
2017,,,group_label_147,,,,,,
2018,,,group_label_147,,,,,,
2019,,,group_label_147,,,,,,
2020,,,group_label_147,,,,,,
2021,,,group_label_147,,,,,,
2022,,,group_label_147,,,,,,
2023,,,group_label_147,,,,,,
2024,,,group_label_147,,,,,,2.78
2015,,,group_label_148,,,,,,
2016,,,group_label_148,,,,,,
2017,,,group_label_148,,,,,,
2018,,,group_label_148,,,,,,
2019,,,group_label_148,,,,,,
2020,,,group_label_148,,,,,,
2021,,,group_label_148,,,,,,
2022,,,group_label_148,,,,,,
2023,,,group_label_148,,,,,,
2024,,,group_label_148,,,,,,14.95
2015,,,group_label_149,,,,,,
2016,,,group_label_149,,,,,,
2017,,,group_label_149,,,,,,
2018,,,group_label_149,,,,,,
2019,,,group_label_149,,,,,,
2020,,,group_label_149,,,,,,
2021,,,group_label_149,,,,,,
2022,,,group_label_149,,,,,,
2023,,,group_label_149,,,,,,
2024,,,group_label_149,,,,,,0.59
2015,,,group_label_150,,,,,,
2016,,,group_label_150,,,,,,
2017,,,group_label_150,,,,,,
2018,,,group_label_150,,,,,,
2019,,,group_label_150,,,,,,
2020,,,group_label_150,,,,,,
2021,,,group_label_150,,,,,,
2022,,,group_label_150,,,,,,
2023,,,group_label_150,,,,,,
2024,,,group_label_150,,,,,,
2015,,,group_label_151,,,,,,
2016,,,group_label_151,,,,,,
2017,,,group_label_151,,,,,,
2018,,,group_label_151,,,,,,
2019,,,group_label_151,,,,,,
2020,,,group_label_151,,,,,,
2021,,,group_label_151,,,,,,
2022,,,group_label_151,,,,,,
2023,,,group_label_151,,,,,,
2024,,,group_label_151,,,,,,3.95
2015,,,group_label_152,,,,,,
2016,,,group_label_152,,,,,,
2017,,,group_label_152,,,,,,
2018,,,group_label_152,,,,,,
2019,,,group_label_152,,,,,,
2020,,,group_label_152,,,,,,
2021,,,group_label_152,,,,,,
2022,,,group_label_152,,,,,,
2023,,,group_label_152,,,,,,
2024,,,group_label_152,,,,,,5.63
2015,,,group_label_153,,,,,,
2016,,,group_label_153,,,,,,
2017,,,group_label_153,,,,,,
2018,,,group_label_153,,,,,,
2019,,,group_label_153,,,,,,
2020,,,group_label_153,,,,,,
2021,,,group_label_153,,,,,,
2022,,,group_label_153,,,,,,
2023,,,group_label_153,,,,,,
2024,,,group_label_153,,,,,,2.98
2015,,,group_label_121,,,,,,
2016,,,group_label_121,,,,,,
2017,,,group_label_121,,,,,,67.66
2018,,,group_label_121,,,,,,67.92
2019,,,group_label_121,,,,,,77.7
2020,,,group_label_121,,,,,,20.04
2021,,,group_label_121,,,,,,80.69
2022,,,group_label_121,,,,,,3.29
2023,,,group_label_121,,,,,,19.82
2024,,,group_label_121,,,,,,12.21
2015,,,group_label_154,,,,,,
2016,,,group_label_154,,,,,,
2017,,,group_label_154,,,,,,64.73
2018,,,group_label_154,,,,,,75.92
2019,,,group_label_154,,,,,,74.15
2020,,,group_label_154,,,,,,29.82
2021,,,group_label_154,,,,,,69.77
2022,,,group_label_154,,,,,,5.52
2023,,,group_label_154,,,,,,18.14
2024,,,group_label_154,,,,,,11.86
2015,,,group_label_122,,,,,,
2016,,,group_label_122,,,,,,
2017,,,group_label_122,,,,,,
2018,,,group_label_122,,,,,,
2019,,,group_label_122,,,,,,
2020,,,group_label_122,,,,,,
2021,,,group_label_122,,,,,,
2022,,,group_label_122,,,,,,
2023,,,group_label_122,,,,,,
2024,,,group_label_122,,,,,,12.84
2015,,,group_label_135,,,,,,
2016,,,group_label_135,,,,,,
2017,,,group_label_135,,,,,,
2018,,,group_label_135,,,,,,
2019,,,group_label_135,,,,,,
2020,,,group_label_135,,,,,,
2021,,,group_label_135,,,,,,
2022,,,group_label_135,,,,,,
2023,,,group_label_135,,,,,,
2024,,,group_label_135,,,,,,
2015,,,group_label_155,,,,,,
2016,,,group_label_155,,,,,,
2017,,,group_label_155,,,,,,
2018,,,group_label_155,,,,,,
2019,,,group_label_155,,,,,,
2020,,,group_label_155,,,,,,
2021,,,group_label_155,,,,,,
2022,,,group_label_155,,,,,,
2023,,,group_label_155,,,,,,
2024,,,group_label_155,,,,,,
2015,,,group_label_156,,,,,,
2016,,,group_label_156,,,,,,
2017,,,group_label_156,,,,,,
2018,,,group_label_156,,,,,,
2019,,,group_label_156,,,,,,
2020,,,group_label_156,,,,,,
2021,,,group_label_156,,,,,,
2022,,,group_label_156,,,,,,
2023,,,group_label_156,,,,,,
2024,,,group_label_156,,,,,,8.28
2015,,,,group_label_138,,,,,
2016,,,,group_label_138,,,,,
2017,,,,group_label_138,,,,,
2018,,,,group_label_138,,,,,
2019,,,,group_label_138,,,,,
2020,,,,group_label_138,,,,,
2021,,,,group_label_138,,,,,
2022,,,,group_label_138,,,,,
2023,,,,group_label_138,,,,,
2024,,,,group_label_138,,,,,6.8
2015,,,,group_label_139,,,,,
2016,,,,group_label_139,,,,,
2017,,,,group_label_139,,,,,
2018,,,,group_label_139,,,,,
2019,,,,group_label_139,,,,,
2020,,,,group_label_139,,,,,
2021,,,,group_label_139,,,,,
2022,,,,group_label_139,,,,,
2023,,,,group_label_139,,,,,
2024,,,,group_label_139,,,,,38.7
2015,,,,group_label_142,,,,,
2016,,,,group_label_142,,,,,
2017,,,,group_label_142,,,,,
2018,,,,group_label_142,,,,,
2019,,,,group_label_142,,,,,
2020,,,,group_label_142,,,,,
2021,,,,group_label_142,,,,,
2022,,,,group_label_142,,,,,
2023,,,,group_label_142,,,,,
2024,,,,group_label_142,,,,,47.73
2015,,,,group_label_143,,,,,
2016,,,,group_label_143,,,,,
2017,,,,group_label_143,,,,,
2018,,,,group_label_143,,,,,
2019,,,,group_label_143,,,,,
2020,,,,group_label_143,,,,,
2021,,,,group_label_143,,,,,
2022,,,,group_label_143,,,,,
2023,,,,group_label_143,,,,,
2024,,,,group_label_143,,,,,16.48
2015,,,,group_label_113,,,,,
2016,,,,group_label_113,,,,,
2017,,,,group_label_113,,,,,
2018,,,,group_label_113,,,,,
2019,,,,group_label_113,,,,,
2020,,,,group_label_113,,,,,
2021,,,,group_label_113,,,,,
2022,,,,group_label_113,,,,,
2023,,,,group_label_113,,,,,
2024,,,,group_label_113,,,,,68.37
2015,,,,group_label_145,,,,,
2016,,,,group_label_145,,,,,
2017,,,,group_label_145,,,,,
2018,,,,group_label_145,,,,,
2019,,,,group_label_145,,,,,
2020,,,,group_label_145,,,,,
2021,,,,group_label_145,,,,,
2022,,,,group_label_145,,,,,
2023,,,,group_label_145,,,,,
2024,,,,group_label_145,,,,,29.07
2015,,,,group_label_116,,,,,
2016,,,,group_label_116,,,,,
2017,,,,group_label_116,,,,,
2018,,,,group_label_116,,,,,
2019,,,,group_label_116,,,,,
2020,,,,group_label_116,,,,,
2021,,,,group_label_116,,,,,
2022,,,,group_label_116,,,,,
2023,,,,group_label_116,,,,,
2024,,,,group_label_116,,,,,4.06
2015,,,,group_label_147,,,,,
2016,,,,group_label_147,,,,,
2017,,,,group_label_147,,,,,
2018,,,,group_label_147,,,,,
2019,,,,group_label_147,,,,,
2020,,,,group_label_147,,,,,
2021,,,,group_label_147,,,,,
2022,,,,group_label_147,,,,,
2023,,,,group_label_147,,,,,
2024,,,,group_label_147,,,,,46.28
