Year,WaterType,SupplyType,Region,Value
2016,microbiological,non_centralized_1,25_reg_Poltava,33.1
2016,sanitary_chemical,urban_pipelines,25_reg_Poltava,27.6
2016,sanitary_chemical,rural_pipelines,25_reg_Poltava,25.9
2016,sanitary_chemical,non_centralized_1,25_reg_Poltava,50.7
2016,radiation,urban_pipelines,25_reg_Poltava,0.0
2016,radiation,rural_pipelines,25_reg_Poltava,0.0
2016,radiation,non_centralized_1,25_reg_Poltava,0.0
2016,microbiological,urban_pipelines,26_reg_Rivne,5.9
2016,microbiological,rural_pipelines,26_reg_Rivne,21.6
2016,microbiological,non_centralized_1,26_reg_Rivne,19.8
2016,sanitary_chemical,urban_pipelines,26_reg_Rivne,12.3
2016,sanitary_chemical,rural_pipelines,26_reg_Rivne,32.2
2016,sanitary_chemical,non_centralized_1,26_reg_Rivne,18.6
2016,radiation,urban_pipelines,26_reg_Rivne,0.0
2016,radiation,rural_pipelines,26_reg_Rivne,0.0
2016,radiation,non_centralized_1,26_reg_Rivne,0.0
2016,microbiological,urban_pipelines,27_reg_Sumy,5.1
2016,microbiological,rural_pipelines,27_reg_Sumy,13.3
2016,microbiological,non_centralized_1,27_reg_Sumy,33.7
