Year,Type of economic activity,By river basins,Region,Value
2018,public_administration_and_defense_compulsory_social_insurance,,,
2019,public_administration_and_defense_compulsory_social_insurance,,,
2020,public_administration_and_defense_compulsory_social_insurance,,,1.114
2021,public_administration_and_defense_compulsory_social_insurance,,,0.691
2022,public_administration_and_defense_compulsory_social_insurance,,,0.62
2023,public_administration_and_defense_compulsory_social_insurance,,,0.65
2024,public_administration_and_defense_compulsory_social_insurance,,,0.597
2015,real_estate,,,
2016,real_estate,,,
2017,real_estate,,,
2018,real_estate,,,
2019,real_estate,,,
2020,real_estate,,,0.227
2021,real_estate,,,0.147
2022,real_estate,,,0.135
2023,real_estate,,,0.149
2024,real_estate,,,0.124
2015,transportation_and_storage_post_and_courier_services,,,
2016,transportation_and_storage_post_and_courier_services,,,
2017,transportation_and_storage_post_and_courier_services,,,
2018,transportation_and_storage_post_and_courier_services,,,
2019,transportation_and_storage_post_and_courier_services,,,
2020,transportation_and_storage_post_and_courier_services,,,0.541
2021,transportation_and_storage_post_and_courier_services,,,1.443
2022,transportation_and_storage_post_and_courier_services,,,0.466
2023,transportation_and_storage_post_and_courier_services,,,1.092
2024,transportation_and_storage_post_and_courier_services,,,1.282
2015,water_supply_sewerage_waste_management_remediation,,,
2016,water_supply_sewerage_waste_management_remediation,,,
2017,water_supply_sewerage_waste_management_remediation,,,
2018,water_supply_sewerage_waste_management_remediation,,,
2019,water_supply_sewerage_waste_management_remediation,,,
2020,water_supply_sewerage_waste_management_remediation,,,380.58
2021,water_supply_sewerage_waste_management_remediation,,,381.066
2022,water_supply_sewerage_waste_management_remediation,,,269.743
2023,water_supply_sewerage_waste_management_remediation,,,287.62
2024,water_supply_sewerage_waste_management_remediation,,,264.191
2015,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2016,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2017,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2018,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2019,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,
2020,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.056
2021,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.057
2022,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.074
2023,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.07
2024,wholesale_retail_trade_repair_motor_vehicles_motorcycles,,,0.041
