Year,By type of indicators,Type of water supply,Region,Value
2024,radiation indicators,urban water pipelines,Sumy,0.0
2015,radiation indicators,rural water pipelines,Sumy,0.0
2016,radiation indicators,rural water pipelines,Sumy,0.0
2017,radiation indicators,rural water pipelines,Sumy,0.0
2018,radiation indicators,rural water pipelines,Sumy,0.0
2019,radiation indicators,rural water pipelines,Sumy,0.0
2020,radiation indicators,rural water pipelines,Sumy,0.0
2021,radiation indicators,rural water pipelines,Sumy,0.0
2022,radiation indicators,rural water pipelines,Sumy,0.0
2023,radiation indicators,rural water pipelines,Sumy,0.0
2024,radiation indicators,rural water pipelines,Sumy,0.0
2015,radiation indicators,non-centralized water supply,Sumy,0.0
2016,radiation indicators,non-centralized water supply,Sumy,0.0
2017,radiation indicators,non-centralized water supply,Sumy,0.0
2018,radiation indicators,non-centralized water supply,Sumy,0.0
2019,radiation indicators,non-centralized water supply,Sumy,0.0
2020,radiation indicators,non-centralized water supply,Sumy,0.0
2021,radiation indicators,non-centralized water supply,Sumy,0.0
2022,radiation indicators,non-centralized water supply,Sumy,0.0
2023,radiation indicators,non-centralized water supply,Sumy,0.0
2024,radiation indicators,non-centralized water supply,Sumy,0.0
2015,microbiological indicators,urban water pipelines,Ternopil,10.5
2016,microbiological indicators,urban water pipelines,Ternopil,12.3
2017,microbiological indicators,urban water pipelines,Ternopil,11.6
2018,microbiological indicators,urban water pipelines,Ternopil,10.6
2019,microbiological indicators,urban water pipelines,Ternopil,12.5
2020,microbiological indicators,urban water pipelines,Ternopil,6.4
2021,microbiological indicators,urban water pipelines,Ternopil,9.2
2022,microbiological indicators,urban water pipelines,Ternopil,5.1
2023,microbiological indicators,urban water pipelines,Ternopil,6.0
2024,microbiological indicators,urban water pipelines,Ternopil,3.0
2015,microbiological indicators,rural water pipelines,Ternopil,15.2
2016,microbiological indicators,rural water pipelines,Ternopil,17.2
2017,microbiological indicators,rural water pipelines,Ternopil,23.3
2018,microbiological indicators,rural water pipelines,Ternopil,19.8
2019,microbiological indicators,rural water pipelines,Ternopil,24.5
2020,microbiological indicators,rural water pipelines,Ternopil,22.8
2021,microbiological indicators,rural water pipelines,Ternopil,26.9
2022,microbiological indicators,rural water pipelines,Ternopil,14.7
2023,microbiological indicators,rural water pipelines,Ternopil,15.3
2024,microbiological indicators,rural water pipelines,Ternopil,18.4
2015,microbiological indicators,non-centralized water supply,Ternopil,16.2
2016,microbiological indicators,non-centralized water supply,Ternopil,8.6
2017,microbiological indicators,non-centralized water supply,Ternopil,24.7
2018,microbiological indicators,non-centralized water supply,Ternopil,26.0
2019,microbiological indicators,non-centralized water supply,Ternopil,22.8
2020,microbiological indicators,non-centralized water supply,Ternopil,20.7
2021,microbiological indicators,non-centralized water supply,Ternopil,28.8
2022,microbiological indicators,non-centralized water supply,Ternopil,23.2
2023,microbiological indicators,non-centralized water supply,Ternopil,28.3
2024,microbiological indicators,non-centralized water supply,Ternopil,22.7
2015,sanitary and chemical indicators,urban water pipelines,Ternopil,12.9
2016,sanitary and chemical indicators,urban water pipelines,Ternopil,10.8
2017,sanitary and chemical indicators,urban water pipelines,Ternopil,3.9
2018,sanitary and chemical indicators,urban water pipelines,Ternopil,20.2
2019,sanitary and chemical indicators,urban water pipelines,Ternopil,16.2
2020,sanitary and chemical indicators,urban water pipelines,Ternopil,18.9
2021,sanitary and chemical indicators,urban water pipelines,Ternopil,25.9
2022,sanitary and chemical indicators,urban water pipelines,Ternopil,10.4
2023,sanitary and chemical indicators,urban water pipelines,Ternopil,15.2
2024,sanitary and chemical indicators,urban water pipelines,Ternopil,12.8
2015,sanitary and chemical indicators,rural water pipelines,Ternopil,8.6
2016,sanitary and chemical indicators,rural water pipelines,Ternopil,6.0
2017,sanitary and chemical indicators,rural water pipelines,Ternopil,10.7
2018,sanitary and chemical indicators,rural water pipelines,Ternopil,15.7
2019,sanitary and chemical indicators,rural water pipelines,Ternopil,27.9
2020,sanitary and chemical indicators,rural water pipelines,Ternopil,25.0
2021,sanitary and chemical indicators,rural water pipelines,Ternopil,35.3
2022,sanitary and chemical indicators,rural water pipelines,Ternopil,17.1
2023,sanitary and chemical indicators,rural water pipelines,Ternopil,26.8
2024,sanitary and chemical indicators,rural water pipelines,Ternopil,34.3
2015,sanitary and chemical indicators,non-centralized water supply,Ternopil,16.1
2016,sanitary and chemical indicators,non-centralized water supply,Ternopil,10.0
2017,sanitary and chemical indicators,non-centralized water supply,Ternopil,23.6
2018,sanitary and chemical indicators,non-centralized water supply,Ternopil,23.6
2019,sanitary and chemical indicators,non-centralized water supply,Ternopil,26.8
2020,sanitary and chemical indicators,non-centralized water supply,Ternopil,20.4
2021,sanitary and chemical indicators,non-centralized water supply,Ternopil,26.9
2022,sanitary and chemical indicators,non-centralized water supply,Ternopil,23.2
2023,sanitary and chemical indicators,non-centralized water supply,Ternopil,28.3
2024,sanitary and chemical indicators,non-centralized water supply,Ternopil,31.2
2015,radiation indicators,urban water pipelines,Ternopil,0.0
2016,radiation indicators,urban water pipelines,Ternopil,0.0
2017,radiation indicators,urban water pipelines,Ternopil,0.0
2018,radiation indicators,urban water pipelines,Ternopil,0.0
2019,radiation indicators,urban water pipelines,Ternopil,0.0
2020,radiation indicators,urban water pipelines,Ternopil,2.2
2021,radiation indicators,urban water pipelines,Ternopil,0.0
2022,radiation indicators,urban water pipelines,Ternopil,0.0
2023,radiation indicators,urban water pipelines,Ternopil,0.0
2024,radiation indicators,urban water pipelines,Ternopil,0.0
2015,radiation indicators,rural water pipelines,Ternopil,0.0
2016,radiation indicators,rural water pipelines,Ternopil,0.0
2017,radiation indicators,rural water pipelines,Ternopil,0.0
2018,radiation indicators,rural water pipelines,Ternopil,0.0
2019,radiation indicators,rural water pipelines,Ternopil,0.0
2020,radiation indicators,rural water pipelines,Ternopil,0.0
2021,radiation indicators,rural water pipelines,Ternopil,0.0
2022,radiation indicators,rural water pipelines,Ternopil,0.0
2023,radiation indicators,rural water pipelines,Ternopil,0.0
2024,radiation indicators,rural water pipelines,Ternopil,0.0
2015,radiation indicators,non-centralized water supply,Ternopil,0.0
2016,radiation indicators,non-centralized water supply,Ternopil,0.0
2017,radiation indicators,non-centralized water supply,Ternopil,0.0
2018,radiation indicators,non-centralized water supply,Ternopil,0.0
2019,radiation indicators,non-centralized water supply,Ternopil,0.0
2020,radiation indicators,non-centralized water supply,Ternopil,0.0
2021,radiation indicators,non-centralized water supply,Ternopil,0.0
2022,radiation indicators,non-centralized water supply,Ternopil,0.0
2023,radiation indicators,non-centralized water supply,Ternopil,0.0
2024,radiation indicators,non-centralized water supply,Ternopil,0.0
2015,microbiological indicators,urban water pipelines,Kharkiv,2.9
2016,microbiological indicators,urban water pipelines,Kharkiv,3.3
2017,microbiological indicators,urban water pipelines,Kharkiv,2.7
2018,microbiological indicators,urban water pipelines,Kharkiv,4.2
2019,microbiological indicators,urban water pipelines,Kharkiv,4.2
2020,microbiological indicators,urban water pipelines,Kharkiv,4.0
2021,microbiological indicators,urban water pipelines,Kharkiv,5.4
2022,microbiological indicators,urban water pipelines,Kharkiv,3.5
2023,microbiological indicators,urban water pipelines,Kharkiv,3.3
2024,microbiological indicators,urban water pipelines,Kharkiv,1.6
2015,microbiological indicators,rural water pipelines,Kharkiv,7.5
2016,microbiological indicators,rural water pipelines,Kharkiv,10.4
2017,microbiological indicators,rural water pipelines,Kharkiv,14.0
2018,microbiological indicators,rural water pipelines,Kharkiv,16.2
2019,microbiological indicators,rural water pipelines,Kharkiv,15.9
2020,microbiological indicators,rural water pipelines,Kharkiv,15.0
2021,microbiological indicators,rural water pipelines,Kharkiv,12.3
2022,microbiological indicators,rural water pipelines,Kharkiv,18.8
2023,microbiological indicators,rural water pipelines,Kharkiv,12.5
2024,microbiological indicators,rural water pipelines,Kharkiv,12.3
2015,microbiological indicators,non-centralized water supply,Kharkiv,32.4
2016,microbiological indicators,non-centralized water supply,Kharkiv,46.3
2017,microbiological indicators,non-centralized water supply,Kharkiv,29.5
2018,microbiological indicators,non-centralized water supply,Kharkiv,26.8
2019,microbiological indicators,non-centralized water supply,Kharkiv,29.8
2020,microbiological indicators,non-centralized water supply,Kharkiv,36.5
2021,microbiological indicators,non-centralized water supply,Kharkiv,38.8
2022,microbiological indicators,non-centralized water supply,Kharkiv,57.4
2023,microbiological indicators,non-centralized water supply,Kharkiv,42.9
2024,microbiological indicators,non-centralized water supply,Kharkiv,44.8
2015,sanitary and chemical indicators,urban water pipelines,Kharkiv,17.2
2016,sanitary and chemical indicators,urban water pipelines,Kharkiv,16.8
2017,sanitary and chemical indicators,urban water pipelines,Kharkiv,21.4
2018,sanitary and chemical indicators,urban water pipelines,Kharkiv,17.0
2019,sanitary and chemical indicators,urban water pipelines,Kharkiv,26.4
2020,sanitary and chemical indicators,urban water pipelines,Kharkiv,26.1
2021,sanitary and chemical indicators,urban water pipelines,Kharkiv,26.6
2022,sanitary and chemical indicators,urban water pipelines,Kharkiv,11.6
2023,sanitary and chemical indicators,urban water pipelines,Kharkiv,4.1
2024,sanitary and chemical indicators,urban water pipelines,Kharkiv,2.4
2015,sanitary and chemical indicators,rural water pipelines,Kharkiv,14.7
2016,sanitary and chemical indicators,rural water pipelines,Kharkiv,20.4
2017,sanitary and chemical indicators,rural water pipelines,Kharkiv,23.6
2018,sanitary and chemical indicators,rural water pipelines,Kharkiv,23.8
2019,sanitary and chemical indicators,rural water pipelines,Kharkiv,24.6
2020,sanitary and chemical indicators,rural water pipelines,Kharkiv,21.9
2021,sanitary and chemical indicators,rural water pipelines,Kharkiv,24.4
2022,sanitary and chemical indicators,rural water pipelines,Kharkiv,24.2
2023,sanitary and chemical indicators,rural water pipelines,Kharkiv,21.0
2024,sanitary and chemical indicators,rural water pipelines,Kharkiv,24.1
2015,sanitary and chemical indicators,non-centralized water supply,Kharkiv,46.9
2016,sanitary and chemical indicators,non-centralized water supply,Kharkiv,44.1
2017,sanitary and chemical indicators,non-centralized water supply,Kharkiv,49.6
2018,sanitary and chemical indicators,non-centralized water supply,Kharkiv,45.4
2019,sanitary and chemical indicators,non-centralized water supply,Kharkiv,45.7
2020,sanitary and chemical indicators,non-centralized water supply,Kharkiv,44.9
2021,sanitary and chemical indicators,non-centralized water supply,Kharkiv,48.4
2022,sanitary and chemical indicators,non-centralized water supply,Kharkiv,57.4
2023,sanitary and chemical indicators,non-centralized water supply,Kharkiv,42.9
2024,sanitary and chemical indicators,non-centralized water supply,Kharkiv,56.3
2015,radiation indicators,urban water pipelines,Kharkiv,0.0
2016,radiation indicators,urban water pipelines,Kharkiv,0.0
2017,radiation indicators,urban water pipelines,Kharkiv,0.0
2018,radiation indicators,urban water pipelines,Kharkiv,0.0
2019,radiation indicators,urban water pipelines,Kharkiv,0.0
2020,radiation indicators,urban water pipelines,Kharkiv,0.0
2021,radiation indicators,urban water pipelines,Kharkiv,0.0
2022,radiation indicators,urban water pipelines,Kharkiv,0.0
2023,radiation indicators,urban water pipelines,Kharkiv,0.0
2024,radiation indicators,urban water pipelines,Kharkiv,0.0
2015,radiation indicators,rural water pipelines,Kharkiv,0.0
2016,radiation indicators,rural water pipelines,Kharkiv,0.0
2017,radiation indicators,rural water pipelines,Kharkiv,0.0
2018,radiation indicators,rural water pipelines,Kharkiv,0.0
2019,radiation indicators,rural water pipelines,Kharkiv,0.0
2020,radiation indicators,rural water pipelines,Kharkiv,0.0
2021,radiation indicators,rural water pipelines,Kharkiv,0.0
2022,radiation indicators,rural water pipelines,Kharkiv,0.0
2023,radiation indicators,rural water pipelines,Kharkiv,0.0
2024,radiation indicators,rural water pipelines,Kharkiv,0.0
2015,radiation indicators,non-centralized water supply,Kharkiv,0.0
2016,radiation indicators,non-centralized water supply,Kharkiv,0.0
2017,radiation indicators,non-centralized water supply,Kharkiv,0.0
2018,radiation indicators,non-centralized water supply,Kharkiv,0.0
