Year,Specialties of fields of knowledge,Level (degree) of education,Value
2020,175 Information and measurement technologies,,
2021,175 Information and measurement technologies,,
2022,175 Information and measurement technologies,,
2023,175 Information and measurement technologies,,11.46
2024,175 Information and measurement technologies,,13.08
2015,176 Micro- and nanosystem technology,,
2016,176 Micro- and nanosystem technology,,
2017,176 Micro- and nanosystem technology,,
2018,176 Micro- and nanosystem technology,,
2019,176 Micro- and nanosystem technology,,
2020,176 Micro- and nanosystem technology,,
2021,176 Micro- and nanosystem technology,,
2022,176 Micro- and nanosystem technology,,
2023,176 Micro- and nanosystem technology,,7.61
2024,176 Micro- and nanosystem technology,,8.77
2015,181 Food technology,,
2016,181 Food technology,,61.32
2017,181 Food technology,,60.69
2018,181 Food technology,,60.25
2019,181 Food technology,,59.74
2020,181 Food technology,,59.58
2021,181 Food technology,,59.51
2022,181 Food technology,,56.29
2023,181 Food technology,,49.51
2024,181 Food technology,,45.4
2015,182 Technologies of light industry,,
2016,182 Technologies of light industry,,92.06
2017,182 Technologies of light industry,,91.99
2018,182 Technologies of light industry,,92.17
2019,182 Technologies of light industry,,91.76
2020,182 Technologies of light industry,,91.41
2021,182 Technologies of light industry,,90.35
2022,182 Technologies of light industry,,88.05
2023,182 Technologies of light industry,,75.58
2024,182 Technologies of light industry,,69.27
2015,183 Environmental protection technology,,
2016,183 Environmental protection technology,,58.71
2017,183 Environmental protection technology,,56.36
2018,183 Environmental protection technology,,52.48
2019,183 Environmental protection technology,,49.07
2020,183 Environmental protection technology,,47.09
2021,183 Environmental protection technology,,45.88
2022,183 Environmental protection technology,,38.65
2023,183 Environmental protection technology,,25.37
2024,183 Environmental protection technology,,26.17
2015,184 Mining,,33.33
2016,184 Mining,,13.97
2017,184 Mining,,13.22
2018,184 Mining,,13.33
2019,184 Mining,,13.72
2020,184 Mining,,14.55
2021,184 Mining,,15.72
2022,184 Mining,,15.07
2023,184 Mining,,12.26
2024,184 Mining,,11.98
2015,185 Oil and gas engineering and technologies,,
2016,185 Oil and gas engineering and technologies,,6.43
2017,185 Oil and gas engineering and technologies,,7.67
2018,185 Oil and gas engineering and technologies,,8.48
2019,185 Oil and gas engineering and technologies,,9.05
2020,185 Oil and gas engineering and technologies,,9.61
2021,185 Oil and gas engineering and technologies,,10.64
2022,185 Oil and gas engineering and technologies,,10.79
2023,185 Oil and gas engineering and technologies,,8.17
2024,185 Oil and gas engineering and technologies,,7.09
2015,186 Publishing and printing,,
2016,186 Publishing and printing,,51.65
2017,186 Publishing and printing,,50.74
2018,186 Publishing and printing,,49.77
2019,186 Publishing and printing,,51.23
2020,186 Publishing and printing,,53.93
2021,186 Publishing and printing,,57.21
2022,186 Publishing and printing,,55.36
2023,186 Publishing and printing,,56.58
2024,186 Publishing and printing,,58.04
2015,187 Woodworking and furniture technologies,,
2016,187 Woodworking and furniture technologies,,
2017,187 Woodworking and furniture technologies,,6.46
2018,187 Woodworking and furniture technologies,,7.54
2019,187 Woodworking and furniture technologies,,8.73
2020,187 Woodworking and furniture technologies,,5.55
2021,187 Woodworking and furniture technologies,,11.23
2022,187 Woodworking and furniture technologies,,9.0
2023,187 Woodworking and furniture technologies,,5.25
2024,187 Woodworking and furniture technologies,,3.46
2015,191 Architecture and urban planning,,85.71
2016,191 Architecture and urban planning,,59.11
2017,191 Architecture and urban planning,,60.19
