Year,Types of economic activity,Value
2015,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",4.3
2016,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",
2017,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",2.3
2018,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",5.0
2019,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",5.6
2020,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",3.6
2021,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",0.3
2022,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",0.4
2023,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",0.3
2024,"Manufacture of motor vehicles, trailers and semi-trailers (Code NACE Rev.2 – 29)",4.1
2015,Manufacture of other transport equipment (Code NACE Rev.2 – 30),5.9
2016,Manufacture of other transport equipment (Code NACE Rev.2 – 30),
2017,Manufacture of other transport equipment (Code NACE Rev.2 – 30),5.4
2018,Manufacture of other transport equipment (Code NACE Rev.2 – 30),5.3
2019,Manufacture of other transport equipment (Code NACE Rev.2 – 30),1.6
2020,Manufacture of other transport equipment (Code NACE Rev.2 – 30),4.4
2021,Manufacture of other transport equipment (Code NACE Rev.2 – 30),3.6
2022,Manufacture of other transport equipment (Code NACE Rev.2 – 30),5.9
2023,Manufacture of other transport equipment (Code NACE Rev.2 – 30),3.0
2024,Manufacture of other transport equipment (Code NACE Rev.2 – 30),14.5
2015,Manufacture of furniture (Code NACE Rev.2 – 31),2.8
2016,Manufacture of furniture (Code NACE Rev.2 – 31),
2017,Manufacture of furniture (Code NACE Rev.2 – 31),0.7
2018,Manufacture of furniture (Code NACE Rev.2 – 31),2.2
2019,Manufacture of furniture (Code NACE Rev.2 – 31),1.0
2020,Manufacture of furniture (Code NACE Rev.2 – 31),1.4
2021,Manufacture of furniture (Code NACE Rev.2 – 31),0.2
2022,Manufacture of furniture (Code NACE Rev.2 – 31),0.3
2023,Manufacture of furniture (Code NACE Rev.2 – 31),0.2
2024,Manufacture of furniture (Code NACE Rev.2 – 31),3.0
2015,Other manufacturing (Code NACE Rev.2 – 32),1.1
2016,Other manufacturing (Code NACE Rev.2 – 32),
2017,Other manufacturing (Code NACE Rev.2 – 32),1.0
2018,Other manufacturing (Code NACE Rev.2 – 32),0.5
2019,Other manufacturing (Code NACE Rev.2 – 32),0.3
2020,Other manufacturing (Code NACE Rev.2 – 32),3.1
2021,Other manufacturing (Code NACE Rev.2 – 32),0.4
2022,Other manufacturing (Code NACE Rev.2 – 32),0.5
2023,Other manufacturing (Code NACE Rev.2 – 32),c
2024,Other manufacturing (Code NACE Rev.2 – 32),c
2015,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),0.9
2016,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),
2017,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),0.1
2018,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),0.7
2019,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),0.4
2020,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),0.2
2021,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),c
2022,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),1.0
2023,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),c
2024,Repair and installation of machinery and equipment (Code NACE Rev.2 – 33),0.3
2015,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",0.0
2016,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",
2017,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",c
2018,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",c
2019,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",c
2020,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",c
2021,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",c
2022,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",
2023,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",c
2024,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",c
2015,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",0.0
2016,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",
2017,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",c
2018,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",c
2019,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",c
2020,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",c
2021,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",c
2022,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",
2023,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",c
2024,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – 35)",c
2015,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",0.0
2016,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",
2017,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",c
2018,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",c
2019,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",c
2020,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",c
2021,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",
2022,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",c
2023,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",c
2024,"Water supply; sewage, waste management and remediation activities (Code NACE Rev.2 – E)",0.4
2015,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",0.0
2016,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",
2017,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",
2018,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",
2019,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",
