Year,by types of economic activity,by the organisational and legal forms,Region,Value
2024,operation of gravel and sand pits; mining of clays and kaolin,,,15.1
2025,operation of gravel and sand pits; mining of clays and kaolin,,,15.6
2016,mining of chemical and fertiliser minerals,,,
2017,mining of chemical and fertiliser minerals,,,
2018,mining of chemical and fertiliser minerals,,,
2019,mining of chemical and fertiliser minerals,,,
2020,mining of chemical and fertiliser minerals,,,
2021,mining of chemical and fertiliser minerals,,,
2022,mining of chemical and fertiliser minerals,,,13.6
2023,mining of chemical and fertiliser minerals,,,12.6
2024,mining of chemical and fertiliser minerals,,,11.0
2025,mining of chemical and fertiliser minerals,,,11.7
2016,extraction of peat,,,
2017,extraction of peat,,,
2018,extraction of peat,,,
2019,extraction of peat,,,
2020,extraction of peat,,,
2021,extraction of peat,,,
2022,extraction of peat,,,14.6
2023,extraction of peat,,,14.7
2024,extraction of peat,,,13.7
2025,extraction of peat,,,13.9
2016,extraction of salt,,,
2017,extraction of salt,,,
2018,extraction of salt,,,
2019,extraction of salt,,,
2020,extraction of salt,,,
2021,extraction of salt,,,
2022,extraction of salt,,,15.4
2023,extraction of salt,,,13.3
2024,extraction of salt,,,12.5
2025,extraction of salt,,,17.1
2016,other mining and quarrying n.e.c.,,,
2017,other mining and quarrying n.e.c.,,,
2018,other mining and quarrying n.e.c.,,,
2019,other mining and quarrying n.e.c.,,,
2020,other mining and quarrying n.e.c.,,,
2021,other mining and quarrying n.e.c.,,,
2022,other mining and quarrying n.e.c.,,,12.0
2023,other mining and quarrying n.e.c.,,,12.4
2024,other mining and quarrying n.e.c.,,,15.3
2025,other mining and quarrying n.e.c.,,,15.6
2016,mining support service activities,,,
2017,mining support service activities,,,
2018,mining support service activities,,,
2019,mining support service activities,,,
2020,mining support service activities,,,
2021,mining support service activities,,,
2022,mining support service activities,,,18.5
2023,mining support service activities,,,18.6
2024,mining support service activities,,,16.5
2025,mining support service activities,,,17.1
2016,support activities for other mining and quarrying,,,
2017,support activities for other mining and quarrying,,,
2018,support activities for other mining and quarrying,,,
2019,support activities for other mining and quarrying,,,
2020,support activities for other mining and quarrying,,,
2021,support activities for other mining and quarrying,,,
2022,support activities for other mining and quarrying,,,14.7
2023,support activities for other mining and quarrying,,,13.1
2024,support activities for other mining and quarrying,,,11.7
2025,support activities for other mining and quarrying,,,13.3
2016,processing and preserving of meat,,,
2017,processing and preserving of meat,,,
2018,processing and preserving of meat,,,
2019,processing and preserving of meat,,,
2020,processing and preserving of meat,,,
2021,processing and preserving of meat,,,
2022,processing and preserving of meat,,,20.7
2023,processing and preserving of meat,,,21.0
2024,processing and preserving of meat,,,20.1
2025,processing and preserving of meat,,,22.0
2016,processing and preserving of poultry meat,,,
2017,processing and preserving of poultry meat,,,
2018,processing and preserving of poultry meat,,,
2019,processing and preserving of poultry meat,,,
2020,processing and preserving of poultry meat,,,
2021,processing and preserving of poultry meat,,,
2022,processing and preserving of poultry meat,,,16.5
2023,processing and preserving of poultry meat,,,15.8
2024,processing and preserving of poultry meat,,,18.6
2025,processing and preserving of poultry meat,,,20.2
2016,production of meat and poultry meat products,,,
2017,production of meat and poultry meat products,,,
2018,production of meat and poultry meat products,,,
2019,production of meat and poultry meat products,,,
2020,production of meat and poultry meat products,,,
2021,production of meat and poultry meat products,,,
2022,production of meat and poultry meat products,,,22.3
2023,production of meat and poultry meat products,,,21.7
2024,production of meat and poultry meat products,,,23.0
