Year,by types of economic activity,by the organisational and legal forms,Region,Value
2024,processing of tea and coffee,,,25.1
2025,processing of tea and coffee,,,27.8
2016,manufacture of condiments and seasonings,,,
2017,manufacture of condiments and seasonings,,,
2018,manufacture of condiments and seasonings,,,
2019,manufacture of condiments and seasonings,,,
2020,manufacture of condiments and seasonings,,,
2021,manufacture of condiments and seasonings,,,
2022,manufacture of condiments and seasonings,,,26.1
2023,manufacture of condiments and seasonings,,,24.9
2024,manufacture of condiments and seasonings,,,22.9
2025,manufacture of condiments and seasonings,,,23.8
2016,manufacture of prepared meals and dishes,,,
2017,manufacture of prepared meals and dishes,,,
2018,manufacture of prepared meals and dishes,,,
2019,manufacture of prepared meals and dishes,,,
2020,manufacture of prepared meals and dishes,,,
2021,manufacture of prepared meals and dishes,,,
2022,manufacture of prepared meals and dishes,,,34.8
2023,manufacture of prepared meals and dishes,,,33.2
2024,manufacture of prepared meals and dishes,,,32.4
2025,manufacture of prepared meals and dishes,,,34.5
2016,manufacture of homogenised food preparations and dietetic food,,,
2017,manufacture of homogenised food preparations and dietetic food,,,
2018,manufacture of homogenised food preparations and dietetic food,,,
2019,manufacture of homogenised food preparations and dietetic food,,,
2020,manufacture of homogenised food preparations and dietetic food,,,
2021,manufacture of homogenised food preparations and dietetic food,,,
2022,manufacture of homogenised food preparations and dietetic food,,,25.6
2023,manufacture of homogenised food preparations and dietetic food,,,24.1
2024,manufacture of homogenised food preparations and dietetic food,,,24.0
2025,manufacture of homogenised food preparations and dietetic food,,,24.8
2016,manufacture of other food products n.e.c.,,,
2017,manufacture of other food products n.e.c.,,,
2018,manufacture of other food products n.e.c.,,,
2019,manufacture of other food products n.e.c.,,,
2020,manufacture of other food products n.e.c.,,,
2021,manufacture of other food products n.e.c.,,,
2022,manufacture of other food products n.e.c.,,,26.2
2023,manufacture of other food products n.e.c.,,,25.2
2024,manufacture of other food products n.e.c.,,,26.2
2025,manufacture of other food products n.e.c.,,,27.9
2016,manufacture of prepared feeds for farm animals,,,
2017,manufacture of prepared feeds for farm animals,,,
2018,manufacture of prepared feeds for farm animals,,,
2019,manufacture of prepared feeds for farm animals,,,
2020,manufacture of prepared feeds for farm animals,,,
2021,manufacture of prepared feeds for farm animals,,,
2022,manufacture of prepared feeds for farm animals,,,15.8
2023,manufacture of prepared feeds for farm animals,,,16.3
2024,manufacture of prepared feeds for farm animals,,,17.2
2025,manufacture of prepared feeds for farm animals,,,19.7
2016,manufacture of prepared pet foods,,,
2017,manufacture of prepared pet foods,,,
2018,manufacture of prepared pet foods,,,
2019,manufacture of prepared pet foods,,,
2020,manufacture of prepared pet foods,,,
2021,manufacture of prepared pet foods,,,
2022,manufacture of prepared pet foods,,,22.1
2023,manufacture of prepared pet foods,,,21.8
2024,manufacture of prepared pet foods,,,24.2
2025,manufacture of prepared pet foods,,,27.7
2016,"distilling, rectifying and blending of spirits",,,
2017,"distilling, rectifying and blending of spirits",,,
2018,"distilling, rectifying and blending of spirits",,,
2019,"distilling, rectifying and blending of spirits",,,
2020,"distilling, rectifying and blending of spirits",,,
2021,"distilling, rectifying and blending of spirits",,,
2022,"distilling, rectifying and blending of spirits",,,16.4
2023,"distilling, rectifying and blending of spirits",,,17.6
2024,"distilling, rectifying and blending of spirits",,,16.8
2025,"distilling, rectifying and blending of spirits",,,16.0
2016,manufacture of wine from grape,,,
2017,manufacture of wine from grape,,,
2018,manufacture of wine from grape,,,
2019,manufacture of wine from grape,,,
2020,manufacture of wine from grape,,,
2021,manufacture of wine from grape,,,
2022,manufacture of wine from grape,,,18.4
2023,manufacture of wine from grape,,,18.3
2024,manufacture of wine from grape,,,18.7
2025,manufacture of wine from grape,,,16.9
2016,manufacture of cider and other fruit wines,,,
2017,manufacture of cider and other fruit wines,,,
2018,manufacture of cider and other fruit wines,,,
2019,manufacture of cider and other fruit wines,,,
2020,manufacture of cider and other fruit wines,,,
2021,manufacture of cider and other fruit wines,,,
2022,manufacture of cider and other fruit wines,,,3.4
2023,manufacture of cider and other fruit wines,,,9.7
2024,manufacture of cider and other fruit wines,,,9.4
2025,manufacture of cider and other fruit wines,,,9.1
2016,manufacture of other non-distilled fermented beverages,,,
2017,manufacture of other non-distilled fermented beverages,,,
2018,manufacture of other non-distilled fermented beverages,,,
2019,manufacture of other non-distilled fermented beverages,,,
2020,manufacture of other non-distilled fermented beverages,,,
2021,manufacture of other non-distilled fermented beverages,,,
2022,manufacture of other non-distilled fermented beverages,,,10.0
2023,manufacture of other non-distilled fermented beverages,,,9.1
2024,manufacture of other non-distilled fermented beverages,,,8.3
2025,manufacture of other non-distilled fermented beverages,,,15.4
2016,manufacture of beer,,,
2017,manufacture of beer,,,
2018,manufacture of beer,,,
2019,manufacture of beer,,,
2020,manufacture of beer,,,
2021,manufacture of beer,,,
2022,manufacture of beer,,,17.4
2023,manufacture of beer,,,17.4
2024,manufacture of beer,,,17.6
2025,manufacture of beer,,,20.5
2016,manufacture of malt,,,
2017,manufacture of malt,,,
2018,manufacture of malt,,,
2019,manufacture of malt,,,
2020,manufacture of malt,,,
2021,manufacture of malt,,,
2022,manufacture of malt,,,10.5
2023,manufacture of malt,,,11.1
2024,manufacture of malt,,,15.0
2025,manufacture of malt,,,17.4
2016,manufacture of soft drinks; production of mineral waters and other bottled waters,,,
2017,manufacture of soft drinks; production of mineral waters and other bottled waters,,,
2018,manufacture of soft drinks; production of mineral waters and other bottled waters,,,
2019,manufacture of soft drinks; production of mineral waters and other bottled waters,,,
2020,manufacture of soft drinks; production of mineral waters and other bottled waters,,,
2021,manufacture of soft drinks; production of mineral waters and other bottled waters,,,
2022,manufacture of soft drinks; production of mineral waters and other bottled waters,,,21.4
2023,manufacture of soft drinks; production of mineral waters and other bottled waters,,,22.1
2024,manufacture of soft drinks; production of mineral waters and other bottled waters,,,23.5
2025,manufacture of soft drinks; production of mineral waters and other bottled waters,,,24.3
2016,manufacture of tobacco products,,,
2017,manufacture of tobacco products,,,
2018,manufacture of tobacco products,,,
2019,manufacture of tobacco products,,,
2020,manufacture of tobacco products,,,
2021,manufacture of tobacco products,,,
2022,manufacture of tobacco products,,,14.8
2023,manufacture of tobacco products,,,14.0
2024,manufacture of tobacco products,,,13.8
2025,manufacture of tobacco products,,,13.9
2016,preparation and spinning of textile fibres,,,
2017,preparation and spinning of textile fibres,,,
2018,preparation and spinning of textile fibres,,,
2019,preparation and spinning of textile fibres,,,
2020,preparation and spinning of textile fibres,,,
2021,preparation and spinning of textile fibres,,,
2022,preparation and spinning of textile fibres,,,17.6
2023,preparation and spinning of textile fibres,,,20.6
2024,preparation and spinning of textile fibres,,,20.0
2025,preparation and spinning of textile fibres,,,19.7
2016,weaving of textiles,,,
2017,weaving of textiles,,,
2018,weaving of textiles,,,
2019,weaving of textiles,,,
2020,weaving of textiles,,,
2021,weaving of textiles,,,
2022,weaving of textiles,,,28.3
2023,weaving of textiles,,,30.2
2024,weaving of textiles,,,31.3
2025,weaving of textiles,,,33.6
2016,finishing of textiles,,,
2017,finishing of textiles,,,
2018,finishing of textiles,,,
2019,finishing of textiles,,,
2020,finishing of textiles,,,
2021,finishing of textiles,,,
2022,finishing of textiles,,,43.9
2023,finishing of textiles,,,43.7
2024,finishing of textiles,,,44.8
2025,finishing of textiles,,,43.9
2016,manufacture of knitted and crocheted fabrics,,,
2017,manufacture of knitted and crocheted fabrics,,,
2018,manufacture of knitted and crocheted fabrics,,,
2019,manufacture of knitted and crocheted fabrics,,,
2020,manufacture of knitted and crocheted fabrics,,,
2021,manufacture of knitted and crocheted fabrics,,,
2022,manufacture of knitted and crocheted fabrics,,,39.0
2023,manufacture of knitted and crocheted fabrics,,,42.1
2024,manufacture of knitted and crocheted fabrics,,,37.0
2025,manufacture of knitted and crocheted fabrics,,,49.2
2016,"manufacture of made-up textile articles, except apparel",,,
2017,"manufacture of made-up textile articles, except apparel",,,
2018,"manufacture of made-up textile articles, except apparel",,,
2019,"manufacture of made-up textile articles, except apparel",,,
2020,"manufacture of made-up textile articles, except apparel",,,
2021,"manufacture of made-up textile articles, except apparel",,,
2022,"manufacture of made-up textile articles, except apparel",,,43.3
2023,"manufacture of made-up textile articles, except apparel",,,42.3
2024,"manufacture of made-up textile articles, except apparel",,,42.1
2025,"manufacture of made-up textile articles, except apparel",,,41.9
2016,manufacture of carpets and rugs,,,
2017,manufacture of carpets and rugs,,,
2018,manufacture of carpets and rugs,,,
2019,manufacture of carpets and rugs,,,
2020,manufacture of carpets and rugs,,,
2021,manufacture of carpets and rugs,,,
2022,manufacture of carpets and rugs,,,37.5
2023,manufacture of carpets and rugs,,,33.3
2024,manufacture of carpets and rugs,,,40.0
2025,manufacture of carpets and rugs,,,38.5
2016,"manufacture of cordage, rope, twine and netting",,,
2017,"manufacture of cordage, rope, twine and netting",,,
2018,"manufacture of cordage, rope, twine and netting",,,
2019,"manufacture of cordage, rope, twine and netting",,,
2020,"manufacture of cordage, rope, twine and netting",,,
2021,"manufacture of cordage, rope, twine and netting",,,
2022,"manufacture of cordage, rope, twine and netting",,,30.3
2023,"manufacture of cordage, rope, twine and netting",,,27.5
2024,"manufacture of cordage, rope, twine and netting",,,29.3
2025,"manufacture of cordage, rope, twine and netting",,,28.0
2016,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,
2017,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,
2018,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,
2019,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,
2020,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,
2021,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,
2022,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,23.6
2023,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,26.1
2024,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,25.2
2025,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,25.0
2016,manufacture of other technical and industrial textiles,,,
2017,manufacture of other technical and industrial textiles,,,
2018,manufacture of other technical and industrial textiles,,,
2019,manufacture of other technical and industrial textiles,,,
2020,manufacture of other technical and industrial textiles,,,
2021,manufacture of other technical and industrial textiles,,,
2022,manufacture of other technical and industrial textiles,,,31.7
2023,manufacture of other technical and industrial textiles,,,28.2
2024,manufacture of other technical and industrial textiles,,,28.4
2025,manufacture of other technical and industrial textiles,,,31.4
2016,manufacture of other textiles n.e.c.,,,
2017,manufacture of other textiles n.e.c.,,,
2018,manufacture of other textiles n.e.c.,,,
2019,manufacture of other textiles n.e.c.,,,
2020,manufacture of other textiles n.e.c.,,,
2021,manufacture of other textiles n.e.c.,,,
2022,manufacture of other textiles n.e.c.,,,30.4
2023,manufacture of other textiles n.e.c.,,,30.8
2024,manufacture of other textiles n.e.c.,,,32.7
2025,manufacture of other textiles n.e.c.,,,35.5
2016,manufacture of leather clothes,,,
2017,manufacture of leather clothes,,,
2018,manufacture of leather clothes,,,
