Year,Region,group_label_230,Age,Gender,group_16,group_24,group_25,Value
2024,,,,,,,group_label_242,89363.0
2015,,,,,,,group_label_243,3376.0
2016,,,,,,,group_label_243,23269.0
2017,,,,,,,group_label_243,47308.0
2018,,,,,,,group_label_243,36996.0
2019,,,,,,,group_label_243,39436.0
2020,,,,,,,group_label_243,51284.0
2021,,,,,,,group_label_243,51625.0
2022,,,,,,,group_label_243,24851.0
2023,,,,,,,group_label_243,22914.0
2024,,,,,,,group_label_243,15528.0
2015,,,,,,,group_label_244,3130.0
2016,,,,,,,group_label_244,18617.0
2017,,,,,,,group_label_244,34715.0
2018,,,,,,,group_label_244,31099.0
2019,,,,,,,group_label_244,
2020,,,,,,,group_label_244,
2021,,,,,,,group_label_244,
2022,,,,,,,group_label_244,
2023,,,,,,,group_label_244,
2024,,,,,,,group_label_244,
2015,,,,,,,group_label_245,5168.0
2016,,,,,,,group_label_245,21979.0
2017,,,,,,,group_label_245,33562.0
2018,,,,,,,group_label_245,50940.0
2019,,,,,,,group_label_245,64778.0
2020,,,,,,,group_label_245,47231.0
2021,,,,,,,group_label_245,65339.0
2022,,,,,,,group_label_245,34713.0
2023,,,,,,,group_label_245,29930.0
2024,,,,,,,group_label_245,23324.0
2015,,,,,,,group_label_246,5997.0
2016,,,,,,,group_label_246,43639.0
2017,,,,,,,group_label_246,104315.0
2018,,,,,,,group_label_246,120281.0
2019,,,,,,,group_label_246,122853.0
2020,,,,,,,group_label_246,107386.0
2021,,,,,,,group_label_246,141747.0
2022,,,,,,,group_label_246,91710.0
2023,,,,,,,group_label_246,101400.0
2024,,,,,,,group_label_246,101868.0
2015,,,,,,,group_label_247,1016.0
2016,,,,,,,group_label_247,7323.0
2017,,,,,,,group_label_247,19861.0
2018,,,,,,,group_label_247,27422.0
2019,,,,,,,group_label_247,9642.0
2020,,,,,,,group_label_247,24652.0
2021,,,,,,,group_label_247,32918.0
2022,,,,,,,group_label_247,27305.0
2023,,,,,,,group_label_247,36308.0
2024,,,,,,,group_label_247,32793.0
2015,,,,,,,group_label_248,360.0
2016,,,,,,,group_label_248,3163.0
2017,,,,,,,group_label_248,6163.0
2018,,,,,,,group_label_248,5864.0
2019,,,,,,,group_label_248,4354.0
2020,,,,,,,group_label_248,556.0
2021,,,,,,,group_label_248,176.0
2022,,,,,,,group_label_248,360.0
2023,,,,,,,group_label_248,334.0
2024,,,,,,,group_label_248,388.0
2015,,,,,,,group_label_249,4249.0
2016,,,,,,,group_label_249,20545.0
2017,,,,,,,group_label_249,48615.0
2018,,,,,,,group_label_249,55540.0
2019,,,,,,,group_label_249,96305.0
2020,,,,,,,group_label_249,51778.0
2021,,,,,,,group_label_249,36315.0
2022,,,,,,,group_label_249,13261.0
2023,,,,,,,group_label_249,5566.0
2024,,,,,,,group_label_249,4350.0
2015,,,,,,,group_label_250,
2016,,,,,,,group_label_250,
2017,,,,,,,group_label_250,
2018,,,,,,,group_label_250,
2019,,,,,,,group_label_250,17708.0
2020,,,,,,,group_label_250,19608.0
2021,,,,,,,group_label_250,23039.0
2022,,,,,,,group_label_250,15590.0
2023,,,,,,,group_label_250,19101.0
2024,,,,,,,group_label_250,19470.0
2015,,,,,,,group_label_251,
2016,,,,,,,group_label_251,
2017,,,,,,,group_label_251,
2018,,,,,,,group_label_251,
2019,,,,,,,group_label_251,27043.0
2020,,,,,,,group_label_251,24566.0
2021,,,,,,,group_label_251,32649.0
2022,,,,,,,group_label_251,29413.0
2023,,,,,,,group_label_251,33126.0
2024,,,,,,,group_label_251,26903.0
2015,,,,,,,group_label_252,
2016,,,,,,,group_label_252,
2017,,,,,,,group_label_252,
2018,,,,,,,group_label_252,
2019,,,,,,,group_label_252,4613.0
2020,,,,,,,group_label_252,5337.0
2021,,,,,,,group_label_252,6426.0
2022,,,,,,,group_label_252,4204.0
2023,,,,,,,group_label_252,4444.0
2024,,,,,,,group_label_252,4745.0
2015,,,,,,,group_label_253,
2016,,,,,,,group_label_253,
2017,,,,,,,group_label_253,
2018,,,,,,,group_label_253,
2019,,,,,,,group_label_253,
2020,,,,,,,group_label_253,
2021,,,,,,,group_label_253,
2022,,,,,,,group_label_253,5.0
2023,,,,,,,group_label_253,13.0
2024,,,,,,,group_label_253,16.0
2015,,,,,,,group_label_254,
2016,,,,,,,group_label_254,
2017,,,,,,,group_label_254,
2018,,,,,,,group_label_254,
2019,,,,,,,group_label_254,
2020,,,,,,,group_label_254,
2021,,,,,,,group_label_254,
2022,,,,,,,group_label_254,208.0
2023,,,,,,,group_label_254,487.0
2024,,,,,,,group_label_254,454.0
2015,,,,,,,group_label_255,
2016,,,,,,,group_label_255,
2017,,,,,,,group_label_255,
2018,,,,,,,group_label_255,
2019,,,,,,,group_label_255,
2020,,,,,,,group_label_255,
2021,,,,,,,group_label_255,
2022,,,,,,,group_label_255,5379.0
2023,,,,,,,group_label_255,3209.0
2024,,,,,,,group_label_255,2408.0
